store,address,Latitude,Longitude
올리브영 관악,서울특별시 관악구 관악로 171,37.4805149,126.9522165
신천점,서울특별시 송파구 올림픽로 116-1 신원빌딩 1층,37.5113636,127.0836165
서울숲역점,서울특별시 성동구 왕십리로 50 (성수동1가 656-335 1층),37.5418236,127.0449181
뚝섬유원지역점,서울특별시 광진구 능동로 7,37.5323053,127.0667564
석촌호수로점,서울특별시 송파구 석촌호수로 88 1층,37.5084731,127.086777
신용산역점,서울특별시 용산구 한강대로 95 (한강로2가 래미안용산),37.5326966,126.9705109
금호점,서울특별시 성동구 독서당로 302 1층,37.5475722,127.0227172
상도역점,서울특별시 동작구 양녕로 257,37.5031286,126.9472635
아이파크몰점,서울특별시 용산구 한강대로21나길 7 아이파크몰6층,37.5297886,126.964879
잠실학원사거리점,서울특별시 송파구 석촌호수로 130,37.5071579,127.0913749
봉천역점,서울특별시 관악구 남부순환로 1735,37.4825001,126.9430337
성동성수점,서울특별시 성동구 성수일로6길 47,37.5442438,127.0552721
건대몰오브케이점,서울특별시 광진구 아차산로30길 26 몰오브케이 1층 101-2호,37.5396907,127.066938
성수역점,서울특별시 성동구 아차산로 91,37.54527,127.0544682
배명사거리점,서울특별시 송파구 백제고분로 276 공익빌딩 1층,37.5021559,127.0972931
용산리첸시아점,서울특별시 용산구 백범로 341 외 1필지(원효로1가 리첸시아 용산) 리첸시아 에이동,37.5395434,126.9953786
스타시티점,서울특별시 광진구 아차산로 262 스타시티가 1층,37.5385577,127.0735892
올리브영 노량진,서울특별시 동작구 노량진로 162,37.5133706,126.9439197
건대입구점,서울특별시 광진구 동일로22길 115 1층,37.5407249,127.0704479
약수역점,서울특별시 중구 동호로 189,37.5547961,127.0101982
롯데월드점,서울특별시 송파구 올림픽로 240 (롯데월드 어드벤쳐 지하1층 매표소 인근),37.5111158,127.098167
서울타워점,서울특별시 용산구 남산공원길 105,37.5509473,126.9892965
수서역점,서울특별시 강남구 밤고개로1길 10,37.4879855,127.1017774
숙대입구역점,서울특별시 용산구 한강대로 285 (갈월동),37.5437202,126.971887
롯데마트행당역점,서울특별시 성동구 행당로 84 행당 한진타운상가 B2층,37.5555573,127.0289482
장승배기역점,서울특별시 동작구 장승배기로11가길 11 (상도동 상도파크자이),37.505486,126.938074
건대점,서울특별시 광진구 능동로 133,37.542805,127.0716555
노량진삼거리점,서울특별시 동작구 노량진로 124 1층,37.5132357,126.9396243
숙대점,서울특별시 용산구 청파로45길 19 복조빌딩 1층(올리브영 숙대점),37.5442281,126.9693667
세곡동점,서울특별시 강남구 헌릉로569길 21-36,37.466266,127.1167873
잠실역8호선점,서울특별시 송파구 올림픽로 305 잠실역8호선 지하상가 H7~10호,37.5149545,127.1042019
청구역점,서울특별시 중구 다산로 168 성월빌딩 일부,37.558404,127.0130084
구의역점,서울특별시 광진구 아차산로 378 한승빌딩 1층,37.5365126,127.0847377
녹두거리점,서울특별시 관악구 신림로 127 1층,37.4707698,126.9352458
잠실점,서울특별시 송파구 올림픽로 269 101호,37.5143367,127.1005715
잠실장미상가점,서울특별시 송파구 올림픽로35길 104 (신천동 7) 장미에이상가 내재 1동,37.5188607,127.0992536
신림역점,서울특별시 관악구 남부순환로 1619,37.4846038,126.9304905
트윈시티점,서울특별시 용산구 한강대로 366 B1,37.5507383,126.9727203
포도몰점,서울특별시 관악구 신림로 330 포도몰 지하1층,37.4838735,126.9302332
한양대점,서울특별시 성동구 마조로 11 1층,37.5589075,127.0406436
홈플러스잠실점,서울특별시 송파구 올림픽로35가길 16,37.5162099,127.1030143
신림로점,서울특별시 관악구 신림로 315,37.4824595,126.9296176
신림점,서울특별시 관악구 신림로 353,37.4857317,126.9291752
석촌역점,서울특별시 송파구 백제고분로 387,37.5064928,127.1085026
신대방삼거리역점,서울특별시 동작구 보라매로 113,37.4994248,126.927877
